,state_id,program_type,loan_investment_amount,ssbci_original_funds,nonprivate_amount,concurrent_private_financing,borrower_insurance_premium,lender_insurance_premium,guaranteed_amount,collateral_support,ssbci_recycled_funds,subsequent_private_financing,metro_type,LMI_type,revenue,full_time_employees,naics_code,year_incorporated,trans_type,CDFI_type,SPY_Close,U_Rate,job_benefit,creation_status
0,0,4,180000.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,5.0,681,103,1,2,152.11000061035156,7.5,4.0,1.0
1,0,4,2400000.0,250000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1520000.0,0,0,0.0,28.0,439,102,1,2,167.50999450683594,7.3,4.0,1.0
2,0,4,265000.0,110000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,7.0,681,103,1,2,183.82000732421875,6.7,7.0,1.0
3,0,4,199500.0,99750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,2.0,378,104,1,2,181.50999450683594,6.2,8.0,1.0
4,0,4,125000.0,62500.0,0.0,125000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1494916.0,8.0,519,97,1,2,187.39999389648438,6.3,8.0,1.0
5,0,4,120000.0,60000.0,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,41000.0,0.0,378,104,1,2,198.97999572753906,5.9,0.0,0.0
6,0,4,500000.0,175000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0,1,0.0,4.0,22,104,1,2,199.02000427246094,5.7,8.0,1.0
7,0,4,30000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,3.0,590,104,1,2,202.89999389648438,5.0,3.0,1.0
8,0,4,74000.0,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,590,104,1,2,198.11000061035156,5.0,0.0,0.0
9,0,4,125000.0,62500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,4.0,22,104,1,2,204.02000427246094,5.1,0.0,0.0
10,0,4,140000.0,70000.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,20000.0,0,1,45000.0,5.0,343,106,1,2,205.2100067138672,4.8,5.0,1.0
11,0,4,21875.0,3125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,707,106,1,2,211.35000610351562,4.9,2.0,1.0
12,0,4,21875.0,3125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,279000.0,1.0,122,104,1,2,211.35000610351562,4.9,1.0,1.0
13,0,4,21875.0,3125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2.0,682,106,1,2,211.35000610351562,4.9,2.0,1.0
14,0,4,21875.0,3125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,3.0,333,106,1,2,211.35000610351562,4.9,3.0,1.0
15,0,4,21875.0,3125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,2.0,590,106,1,2,211.35000610351562,4.9,2.0,1.0
16,0,4,135000.0,67500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,279000.0,2.0,122,104,1,2,220.3800048828125,4.7,3.0,1.0
17,0,4,199500.0,99750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,45000.0,5.0,343,106,1,2,224.35000610351562,4.7,5.0,1.0
18,0,4,150000.0,75000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50000.0,2.0,707,106,1,2,223.52999877929688,4.7,2.0,1.0
19,1,2,500000.0,250000.0,0.0,0.0,0.0,0.0,250000.0,0.0,0.0,0.0,0,1,1985342.0,1.0,839,88,0,1,134.36000061035156,8.3,40.0,1.0
20,1,2,50000.0,25000.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,0,0,0.0,1.0,241,101,0,1,134.36000061035156,8.3,2.0,1.0
21,1,2,250000.0,125000.0,0.0,0.0,0.0,0.0,125000.0,0.0,0.0,0.0,0,1,2000000.0,2.0,412,99,0,1,136.47000122070312,8.3,100.0,1.0
22,1,2,286000.0,143000.0,0.0,0.0,0.0,0.0,143000.0,0.0,0.0,0.0,1,1,342755.0,13.0,792,79,0,0,136.47000122070312,8.3,13.0,1.0
23,1,2,402000.0,201000.0,0.0,0.0,0.0,0.0,201000.0,0.0,0.0,0.0,1,1,348478.45,13.0,792,79,0,0,136.47000122070312,8.3,13.0,1.0
24,1,2,402000.0,201000.0,0.0,0.0,0.0,0.0,201000.0,0.0,0.0,0.0,1,1,219451.66,25.0,792,79,0,0,136.47000122070312,8.3,25.0,1.0
25,1,2,32000.0,16000.0,0.0,0.0,0.0,0.0,16000.0,0.0,0.0,0.0,1,1,828344.0,4.0,868,96,0,0,137.30999755859375,8.2,4.0,1.0
26,1,2,38000.0,19000.0,0.0,0.0,0.0,0.0,19000.0,0.0,0.0,0.0,1,1,330465.35,6.0,774,100,0,0,139.0800018310547,8.2,6.0,1.0
27,1,2,250000.0,125000.0,0.0,0.0,0.0,0.0,125000.0,0.0,0.0,0.0,0,0,0.0,0.0,390,102,0,1,137.9499969482422,8.2,20.0,1.0
28,1,2,50000.0,25000.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,1,0,59854.0,37.0,553,82,0,0,135.61000061035156,8.2,3.0,1.0
29,1,2,4400000.0,2200000.0,0.0,0.0,0.0,0.0,2200000.0,0.0,0.0,0.0,0,1,0.0,13.0,663,102,0,1,129.74000549316406,8.2,138.0,1.0
30,1,2,600000.0,300000.0,0.0,0.0,0.0,0.0,300000.0,0.0,0.0,0.0,0,1,0.0,0.0,663,102,0,1,129.74000549316406,8.2,0.0,0.0
31,1,2,150379.01,74600.0,0.0,0.0,0.0,0.0,74600.0,0.0,0.0,0.0,1,1,2397675.0,11.0,243,90,0,0,129.07000732421875,8.2,11.0,1.0
32,1,2,64000.0,32000.0,0.0,0.0,0.0,0.0,32000.0,0.0,0.0,0.0,1,1,80027.0,2.0,528,99,0,0,131.41000366210938,8.2,2.0,1.0
33,1,2,75000.0,37500.0,0.0,0.0,0.0,0.0,37500.0,0.0,0.0,0.0,0,1,411953.0,9.0,465,99,0,1,136.36000061035156,8.2,12.0,1.0
34,1,2,25000.0,12500.0,0.0,0.0,0.0,0.0,12500.0,0.0,0.0,0.0,1,1,45296.0,1.0,23,65,0,0,141.75999450683594,8.1,1.0,1.0
35,1,2,495000.0,247500.0,0.0,0.0,0.0,0.0,247500.0,0.0,0.0,0.0,0,1,1013200.0,5.0,848,101,0,1,146.6199951171875,7.8,13.0,1.0
36,1,2,50000.0,25000.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,0,1,0.0,1.0,520,101,0,1,146.6199951171875,7.8,0.0,0.0
37,1,2,100000.0,50000.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0,1,216000.0,2.0,519,88,0,0,144.63999938964844,7.8,4.0,1.0
38,1,2,75000.0,37500.0,0.0,0.0,0.0,0.0,37500.0,0.0,0.0,0.0,0,1,22601.0,1.0,687,102,0,1,144.35000610351562,7.8,5.0,1.0
39,1,3,1560000.0,115000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2858599.0,12.0,848,95,0,1,145.82000732421875,7.8,12.0,1.0
40,1,2,150000.0,75000.0,0.0,0.0,0.0,0.0,75000.0,0.0,0.0,0.0,1,0,412692.0,0.0,508,101,0,0,143.38999938964844,7.8,10.0,1.0
41,1,0,9214.5,460.72,0.0,0.0,230.36,230.36,0.0,0.0,0.0,0.0,0,1,0.0,1.0,514,102,0,0,141.35000610351562,7.8,1.0,1.0
42,1,2,5000000.0,2500000.0,0.0,0.0,0.0,0.0,2500000.0,0.0,0.0,0.0,1,0,8063204.0,47.0,605,80,0,1,142.8300018310547,7.7,20.0,1.0
43,1,2,24132.0,12066.0,0.0,0.0,0.0,0.0,12066.0,0.0,0.0,0.0,1,1,822365.0,4.0,492,89,0,0,141.85000610351562,7.7,4.0,1.0
44,1,0,22833.81,1141.7,0.0,0.0,570.85,570.85,0.0,0.0,0.0,0.0,1,1,61068.0,1.0,864,102,0,0,138.0399932861328,7.7,6.0,1.0
45,1,2,100000.0,50000.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0,0,1051349.0,8.0,839,96,0,0,136.3699951171875,7.7,8.0,1.0
46,1,2,2633000.0,1316500.0,0.0,0.0,0.0,0.0,1316500.0,0.0,0.0,0.0,1,1,13153200.0,65.0,509,98,0,1,139.1300048828125,7.7,65.0,1.0
47,1,0,28986.28,1449.32,0.0,0.0,724.66,724.66,0.0,0.0,0.0,0.0,1,1,51786.0,3.0,39,83,0,0,142.1199951171875,7.7,3.0,1.0
48,1,2,200000.0,100000.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0,1,0.0,15.0,819,101,0,1,142.6300048828125,7.9,0.0,0.0
49,1,0,23964.24,1198.21,0.0,0.0,599.11,599.1,0.0,0.0,0.0,0.0,0,1,0.0,5.0,92,102,0,0,145.1199951171875,7.9,12.0,1.0
50,1,2,20000.0,10000.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,1,1,0.0,0.0,839,102,0,0,142.7899932861328,7.9,0.0,0.0
51,1,2,70000.0,35000.0,0.0,0.0,0.0,0.0,35000.0,0.0,0.0,0.0,1,1,0.0,0.0,839,102,0,0,142.7899932861328,7.9,10.0,1.0
52,1,2,25000.0,12500.0,0.0,0.0,0.0,0.0,12500.0,0.0,0.0,0.0,0,1,0.0,1.0,671,102,0,1,146.3699951171875,8.0,1.0,1.0
53,1,2,50000.0,25000.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,0,1,0.0,1.0,671,102,0,1,146.3699951171875,8.0,0.0,0.0
54,1,2,40928.0,20464.0,0.0,0.0,0.0,0.0,20464.0,0.0,0.0,0.0,1,1,854049.0,12.0,104,99,0,0,145.97000122070312,8.0,12.0,1.0
55,1,2,3000000.0,1500000.0,0.0,0.0,0.0,0.0,1500000.0,0.0,0.0,0.0,0,1,0.0,4.0,334,102,0,1,145.9199981689453,8.0,0.0,0.0
56,1,0,23398.6,1169.93,0.0,0.0,584.96,584.97,0.0,0.0,0.0,0.0,0,1,131570.0,4.0,672,87,0,0,146.97000122070312,8.0,5.0,1.0
57,1,2,70000.0,35000.0,0.0,0.0,0.0,0.0,35000.0,0.0,0.0,0.0,1,1,293000.0,8.0,100,71,0,0,146.97000122070312,8.0,8.0,1.0
58,1,0,56722.79,2836.14,0.0,0.0,1418.07,1418.07,0.0,0.0,0.0,0.0,0,0,0.0,4.0,73,99,0,0,147.07000732421875,8.0,7.0,1.0
59,1,0,18604.33,930.21,0.0,0.0,465.1,465.11,0.0,0.0,0.0,0.0,0,1,100181.0,2.0,514,100,0,0,148.0,8.0,2.0,1.0
60,1,2,174150.39,87075.2,0.0,0.0,0.0,0.0,87075.2,0.0,0.0,0.0,1,1,1178020.0,7.0,758,97,0,0,148.3300018310547,8.0,7.0,1.0
61,1,2,300000.0,150000.0,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,0.0,0,1,0.0,4.0,334,102,0,1,150.25,8.0,14.0,1.0
62,1,2,99115.97,49557.99,0.0,0.0,0.0,0.0,49557.99,0.0,0.0,0.0,1,1,118527.0,1.0,864,100,0,0,150.25,8.0,1.0,1.0
63,1,2,9000.0,4500.0,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,0.0,1,1,0.0,0.0,643,103,0,0,150.25,8.0,0.0,0.0
64,1,2,32300.0,16150.0,0.0,0.0,0.0,0.0,16150.0,0.0,0.0,0.0,1,1,0.0,0.0,643,103,0,0,150.25,8.0,1.0,1.0
65,1,2,50000.0,25000.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,0,0,53069.0,2.0,241,101,0,1,151.8000030517578,7.7,2.0,1.0
66,1,2,200000.0,100000.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0,0,1933000.0,2.0,87,100,0,1,151.8000030517578,7.7,2.0,1.0
67,1,2,1325000.0,662500.0,0.0,0.0,0.0,0.0,662500.0,0.0,0.0,0.0,0,1,1664807.0,20.0,698,97,0,1,151.8000030517578,7.7,24.0,1.0
68,1,2,40000.0,20000.0,0.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,1,0,0.0,0.0,493,103,0,0,153.25,7.7,3.0,1.0
69,1,2,595000.0,297500.0,0.0,0.0,0.0,0.0,297500.0,0.0,0.0,0.0,0,0,1156559.0,20.0,752,90,0,1,154.2899932861328,7.5,6.0,1.0
70,1,2,3300000.0,1650000.0,0.0,0.0,0.0,0.0,1650000.0,0.0,0.0,0.0,0,1,1828000.0,10.0,877,57,0,1,155.67999267578125,7.5,10.0,1.0
71,1,0,13726.64,686.34,0.0,0.0,343.17,343.17,0.0,0.0,0.0,0.0,0,1,0.0,2.0,835,103,0,0,155.89999389648438,7.5,4.0,1.0
72,1,2,285000.0,142500.0,0.0,0.0,0.0,0.0,142500.0,0.0,0.0,0.0,0,0,0.0,8.0,418,103,0,1,156.19000244140625,7.5,30.0,1.0
73,1,2,275000.0,137500.0,0.0,0.0,0.0,0.0,137500.0,0.0,0.0,0.0,0,1,0.0,0.0,840,102,0,0,156.2100067138672,7.6,50.0,1.0
74,1,2,89000.0,44500.0,0.0,0.0,0.0,0.0,44500.0,0.0,0.0,0.0,1,0,84845.0,1.0,93,94,0,0,156.2100067138672,7.6,1.0,1.0
75,1,2,1012076.0,500000.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,1,1,1376661.0,0.0,829,97,0,0,155.1199951171875,7.6,55.0,1.0
76,1,2,860000.0,430000.0,0.0,0.0,0.0,0.0,430000.0,0.0,0.0,0.0,0,1,10483325.0,4.0,450,92,0,1,157.8800048828125,7.6,8.0,1.0
77,1,2,30000.0,15000.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,1,1,98821.0,1.0,19,70,0,0,157.8800048828125,7.6,1.0,1.0
78,1,2,36000.0,18000.0,0.0,0.0,0.0,0.0,18000.0,0.0,0.0,0.0,1,0,2986000.0,37.0,553,82,0,0,157.8800048828125,7.6,37.0,1.0
79,1,2,565000.0,282500.0,0.0,0.0,0.0,0.0,282500.0,0.0,0.0,0.0,0,1,0.0,0.0,839,90,0,1,158.52000427246094,7.6,25.0,1.0
80,1,2,127000.0,63500.0,0.0,0.0,0.0,0.0,63500.0,0.0,0.0,0.0,0,1,0.0,0.0,840,103,0,1,163.41000366210938,7.5,3.0,1.0
81,1,2,12000.0,6000.0,0.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,1,1,0.0,0.0,132,103,0,0,166.94000244140625,7.5,1.0,1.0
82,1,2,3850000.0,1925000.0,0.0,0.0,0.0,0.0,1925000.0,0.0,0.0,0.0,0,1,2750000.0,10.0,868,93,0,1,166.3000030517578,7.5,10.0,1.0
83,1,2,15000.0,7500.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,0.0,1,0,0.0,1.0,736,103,0,0,165.8300018310547,7.5,2.0,1.0
84,1,2,50000.0,25000.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,1,1,2200.0,2.0,104,103,0,1,164.8000030517578,7.5,2.0,1.0
85,1,2,152000.0,76000.0,0.0,0.0,0.0,0.0,76000.0,0.0,0.0,0.0,0,1,122289.0,4.0,874,100,0,1,164.8000030517578,7.5,7.0,1.0
86,1,2,250000.0,125000.0,0.0,0.0,0.0,0.0,125000.0,0.0,0.0,0.0,0,0,171322.0,2.0,476,81,0,1,163.10000610351562,7.5,6.0,1.0
87,1,2,100000.0,50000.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0,1,506000.0,3.0,555,101,0,0,163.10000610351562,7.5,6.0,1.0
88,1,2,45000.0,22500.0,0.0,0.0,0.0,0.0,22500.0,0.0,0.0,0.0,0,0,211612.0,7.0,132,101,0,0,164.44000244140625,7.5,7.0,1.0
89,1,2,18679.6,9339.8,0.0,0.0,0.0,0.0,9339.8,0.0,0.0,0.0,1,1,312730.0,9.0,425,96,0,0,164.44000244140625,7.5,9.0,1.0
90,1,2,10000.0,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,1,1,0.0,1.0,734,103,0,1,159.39999389648438,7.5,1.0,1.0
91,1,2,202000.0,101000.0,0.0,0.0,0.0,0.0,101000.0,0.0,0.0,0.0,0,1,6093500.0,15.0,494,92,0,1,159.39999389648438,7.5,10.0,1.0
92,1,2,734472.0,367236.0,0.0,0.0,0.0,0.0,367236.0,0.0,0.0,0.0,0,0,6585000.0,43.0,103,84,0,1,158.57000732421875,7.5,44.0,1.0
93,1,2,70000.0,35000.0,0.0,0.0,0.0,0.0,35000.0,0.0,0.0,0.0,1,0,482000.0,3.0,868,60,0,0,160.13999938964844,7.5,3.0,1.0
94,1,2,1000000.0,500000.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0,0,5000000.0,114.0,871,41,0,1,161.0800018310547,7.5,0.0,0.0
95,1,2,100000.0,50000.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0,1,400000.0,20.0,784,103,0,1,160.4199981689453,7.5,25.0,1.0
96,1,2,50000.0,25000.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,1,0,10093618.0,40.0,72,95,0,0,161.2100067138672,7.3,40.0,1.0
97,1,2,144500.0,72250.0,0.0,0.0,0.0,0.0,72250.0,0.0,0.0,0.0,1,1,303000.0,8.0,802,95,0,0,165.1300048828125,7.3,11.0,1.0
98,1,2,352865.0,176432.5,0.0,0.0,0.0,0.0,176432.5,0.0,0.0,0.0,1,0,3811630.0,12.0,378,88,0,1,167.50999450683594,7.3,16.0,1.0
99,1,2,450000.0,225000.0,0.0,0.0,0.0,0.0,225000.0,0.0,0.0,0.0,0,1,1786571.0,30.0,698,97,0,1,169.11000061035156,7.3,13.0,1.0
100,1,2,25000.0,12500.0,0.0,0.0,0.0,0.0,12500.0,0.0,0.0,0.0,1,1,69742.0,1.0,23,100,0,0,168.74000549316406,7.2,1.0,1.0
101,1,2,80000.0,40000.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0,0,585000.0,2.0,513,101,0,0,166.3800048828125,7.2,2.0,1.0
102,1,2,3000.0,1500.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,1,1,254156.0,3.0,425,99,0,0,166.3800048828125,7.2,3.0,1.0
103,1,2,494116.89,247058.45,0.0,0.0,0.0,0.0,247058.45,0.0,0.0,0.0,0,0,53904.0,155.0,103,87,0,1,163.3300018310547,7.2,4.0,1.0
104,1,2,100000.0,50000.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0,1,759005.0,4.0,624,88,0,1,163.64999389648438,7.2,4.0,1.0
105,1,2,100000.0,50000.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0,0,832002.0,4.0,857,101,0,1,165.9600067138672,7.2,2.0,1.0
106,1,2,50000.0,25000.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,0,1,260473.0,1.0,520,101,0,1,169.39999389648438,7.2,1.0,1.0
107,1,2,33360.0,16680.0,0.0,0.0,0.0,0.0,16680.0,0.0,0.0,0.0,1,0,130443.0,2.0,439,76,0,0,169.3300018310547,7.2,4.0,1.0
108,1,2,148000.0,74000.0,0.0,0.0,0.0,0.0,74000.0,0.0,0.0,0.0,0,0,364547.0,3.0,848,72,0,1,173.0500030517578,7.2,5.0,1.0
109,1,2,2334000.0,1167000.0,0.0,0.0,0.0,0.0,1167000.0,0.0,0.0,0.0,0,1,4413368.0,50.0,272,90,0,1,172.75999450683594,7.2,50.0,1.0
110,1,2,100000.0,50000.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0,1,4413368.0,50.0,272,90,0,1,172.75999450683594,7.2,0.0,0.0
111,1,2,359930.0,179965.0,0.0,0.0,0.0,0.0,179965.0,0.0,0.0,0.0,0,1,5180454.0,10.0,405,86,0,1,170.72000122070312,7.2,13.0,1.0
112,1,2,50000.0,25000.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0,0.0,0,1,0.0,1.0,512,101,0,1,169.92999267578125,7.2,3.0,1.0
113,1,2,280000.0,140000.0,0.0,0.0,0.0,0.0,140000.0,0.0,0.0,0.0,0,1,218834.0,5.0,840,103,0,0,168.00999450683594,7.2,4.0,1.0
